c,sf,fa,water,cs
1,0.153333333,0.166666667,0.24,125
1,0.161516854,0.175561798,0.252808989,125
1,0.17037037,0.185185185,0.266666667,118
1,0.156037992,0.169606513,0.244233379,118
1,0.153333333,0.166666667,0.24,128
1,0.153333333,0.166666667,0.24,124
1,0.153333333,0.166666667,0.24,116
1,0.17037037,0.185185185,0.266666667,128
1,0.180533752,0.196232339,0.282574568,110
1,0.278810409,0,0.242874845,204
1,0.324438202,0,0.153089888,138
1,0.249357326,0.242930591,0.238573265,185
1,0.249667995,0.243027888,0.226932271,166
1,0.24966443,0.24295302,0.240187919,162
1,0.248648649,0.243243243,0.234040541,200
1,0.249357326,0.242930591,0.220244216,181
1,0.250659631,0.242744063,0.224538259,155
1,0.24966443,0.24295302,0.240187919,159
1,0.111062271,0,0.111062271,136.4
1,0.109157509,0,0.109157509,137.9
1,0.2,0,0.2,140.8
1,0.2,0,0.2,155.3
1,0.170625,0,0.170625,135
1,0.170625,0,0.170625,135.9
1,0.2,0,0.2,143.2
1,0.2,0,0.2,145.7
1,0.2,0,0.2,124.1
1,0.2,0,0.2,128.3
1,0.2,0,0.2,127.6
1,0.2,0,0.2,144.1
1,0.2,0,0.2,135.5
1,0.2,0,0.2,146.8
1,0.2,0,0.2,144.7
1,0.2,0,0.2,162.4
1,0.332926829,0,0.267073171,108
1,0.332926829,0,0.267073171,95
1,0.298076923,0,0.230769231,140
1,0.298076923,0,0.230769231,165
1,0.298076923,0,0.230769231,195
1,0.298076923,0,0.230769231,230
1,0.298076923,0,0.230769231,140
1,0.298076923,0,0.230769231,165
1,0.298076923,0,0.230769231,210
1,0.12745098,0,0.274509804,175
1,0.12745098,0,0.274509804,195
1,0.12745098,0,0.274509804,240
1,0.111111111,0,0.311111111,145
1,0.111111111,0,0.311111111,175
1,0.323943662,0,0.154929577,190
1,0.259565667,0,0.252326784,128
1,0.12,0,0.192967651,115
1,0.33,0,0.3,210
1,0.24,0,0.235,162
1,0.15,0,0.249090909,142
1,0.31,0,0.176151762,217
1,0.209733333,0,0.222666667,178
1,0.1875,0,0.2875,119
1,0.250037656,0,0.19159512,171
1,0.261904762,0,0.180952381,175
1,0.181126332,0,0.281582953,150.56
1,0.181126332,0,0.281582953,121.32
1,0.250061501,0,0.196924969,204
1,0.250322581,0,0.212903226,170
1,0.090059172,0,0.207633136,188
1,0.08,0,0.2,194
1,0.07309417,0,0.282511211,162
1,0,1.011286682,0.514672686,171
1,0,0,0.28,175
1,0.06875,0.305555556,0.370833333,178
1,0.095588235,0,0.465686275,178
1,0.1,0,0.455665025,180
1,0.15,0,0.28,185
1,0.176240209,0,0.326370757,187
1,0.150064516,0,0.270064516,192
1,0.15,0,0.28,195
1,0.099514563,0,0.308252427,198
1,0,0,0.274545455,199
1,0,0.464824121,0.364321608,100
1,0.324438202,0,0.153089888,101
1,0.325699746,0,0.24173028,103
1,0.213855422,0.213855422,0.21686747,104
1,0.326530612,0,0.242346939,110
1,0.142857143,0.285714286,0.328571429,110
1,0.325699746,0,0.288804071,112
1,0.175,0,0.23,114
1,0.175,0,0.24,115
1,0.175,0,0.24,116
1,0.326949384,0,0.259917921,120
1,0.326530612,0,0.242346939,123
1,0.32625,0,0.30875,124
1,0.175,0,0.24,130
1,0.324438202,0,0.158988764,132
1,0.326530612,0,0.242346939,134
1,0.32625,0,0.30875,138
1,0.323943662,0,0.211267606,138
1,0.306930693,0,0.237623762,140
1,0.249945474,0,0.220283533,145
1,0.326530612,0,0.242346939,149
1,0.249757986,0,0.150048403,150
1,0.249945474,0,0.220283533,153
1,0.325699746,0,0.288804071,154
1,0.250632911,0.243037975,0.178481013,155
1,0.30075188,0,0.267669173,155
1,0.300492611,0,0.267651888,155
1,0.244444444,0,0.18,160
1,0.306930693,0,0.237623762,165
1,0.249727372,0,0.220283533,165
1,0.261904762,0,0.180952381,169
1,0.250322581,0,0.212903226,178
1,0.250052138,0,0.169968717,200
